date,open,close,high,low,volume,money,change,adjclose,symbol
2020-04-29,5533.0,5547.63,5600.76,5524.87,143724316.0,132053811200.0,1.36,5547.63,sh000852
2020-04-30,5572.57,5678.17,5695.21,5572.57,160186056.0,161685979136.0,2.21,5678.17,sh000852
2020-05-06,5636.87,5802.42,5802.46,5632.03,160515351.0,168544768000.0,3.0,5802.42,sh000852
2020-05-07,5809.54,5795.87,5837.33,5787.61,162316275.0,167389806592.0,0.86,5795.87,sh000852
2020-05-08,5825.74,5862.77,5886.0,5822.81,161392586.0,165949771776.0,1.09,5862.77,sh000852
2020-05-11,5892.57,5851.8,5902.16,5813.67,158065336.0,163332599808.0,1.51,5851.8,sh000852
2020-05-12,5847.7,5869.51,5869.59,5780.09,141835686.0,147147227136.0,1.53,5869.51,sh000852
2020-05-13,5849.46,5917.03,5923.26,5835.33,139578278.0,147515060224.0,1.5,5917.03,sh000852
2020-05-14,5889.14,5863.24,5915.61,5861.78,158974226.0,160866271232.0,0.91,5863.24,sh000852
2020-05-15,5886.78,5889.98,5924.77,5859.9,155187827.0,166475104256.0,1.11,5889.98,sh000852
2020-05-18,5905.92,5860.04,5916.71,5841.72,175785976.0,189759008768.0,1.27,5860.04,sh000852
2020-05-19,5896.15,5936.6,5936.66,5886.9,151779169.0,167009746944.0,0.85,5936.6,sh000852
2020-05-20,5928.47,5865.84,5928.47,5844.58,161717837.0,180294651904.0,1.41,5865.84,sh000852
2020-05-21,5878.72,5791.64,5883.78,5780.11,152293102.0,158337085440.0,1.77,5791.64,sh000852
2020-05-22,5782.62,5684.0,5782.66,5643.4,143844879.0,145612136448.0,2.4,5684.0,sh000852
2020-05-25,5674.3,5671.97,5691.14,5640.28,115873608.0,120563572736.0,0.89,5671.97,sh000852
2020-05-26,5690.4,5808.55,5808.55,5690.4,125079483.0,132765360128.0,2.08,5808.55,sh000852
2020-05-27,5813.98,5772.08,5817.06,5758.18,145944599.0,150578073600.0,1.01,5772.08,sh000852
2020-05-28,5769.79,5758.93,5790.18,5675.49,149011881.0,149103386624.0,1.99,5758.93,sh000852
2020-05-29,5744.23,5816.4,5834.62,5732.38,146234703.0,150136750080.0,1.78,5816.4,sh000852
2020-06-01,5855.33,5993.79,5996.42,5855.33,182804490.0,188451524608.0,2.43,5993.79,sh000852
2020-06-02,6012.57,6002.84,6021.27,5978.77,194954803.0,197788385280.0,0.71,6002.84,sh000852
2020-06-03,6010.41,5994.64,6043.1,5987.57,192954778.0,195243573248.0,0.93,5994.64,sh000852
